識別情報,団体コード,種別,団体名,概要,名称,住所_表記,通称,施設_緯度,施設_経度,ホームページ,施設_電話番号,開始時間,終了時間,自由記述欄,日時備考
1,11224,公園,埼玉県戸田市,,彩湖道満グリーンパーク,埼玉県戸田市重瀬７４５他,,35.8224398,139.6313374,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=1,,,,,
2,11224,公園,埼玉県戸田市,,喜沢南公園,埼玉県戸田市喜沢南1丁目3番地,,35.806581,139.695465,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=2,,,,平成９年に設置されました。,
3,11224,公園,埼玉県戸田市,,戸田公園,埼玉県戸田市荒川堤外,,35.8031329,139.6574438,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=3,,,,市街地においては、運動施設等がないことから、堤外地利用し、整備を図る。,
4,11224,公園,埼玉県戸田市,,後谷公園,埼玉県戸田市 	上戸田4丁目8番地,,35.816893,139.67639,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=4,,,,当該地は、その昔武蔵野平野に属し、当時の面影を観ることができない現在、武蔵野平野を偲ばされる景観を目的とした公園とした。,
5,11224,公園,埼玉県戸田市,,新田公園,埼玉県戸田市 	美女木3丁目1番地,,35.827047,139.644482,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=5,,,,昭和47年、区画整理により設置されました。,
6,11224,公園,埼玉県戸田市,,惣右衛門公園,埼玉県戸田市笹目1丁目38番地,,35.818973,139.652393,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=6,,,,昭和46年、区画整理により設置されました。,
7,11224,公園,埼玉県戸田市,,笹目公園,埼玉県戸田市笹目7丁目1番地,,35.81228,139.64285,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=7,,,,昭和48年、区画整理により設置されました。,
8,11224,公園,埼玉県戸田市,,北部公園,埼玉県戸田市 	笹目北町9番地,,35.824523,139.655644,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=8,,,,昭和51年、区画整理により設置されました。,
9,11224,公園,埼玉県戸田市,,上町第一公園,埼玉県戸田市 	下戸田2丁目10番地,,35.813773,139.683581,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=9,,,,昭和４１年、区画整理により設置された。,
10,11224,公園,埼玉県戸田市,,上町第二公園,埼玉県戸田市 	下戸田2丁目19番地,,35.816274,139.683274,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=10,,,,昭和42年、区画整理により整理された。,
11,11224,公園,埼玉県戸田市,,元蕨第一公園,埼玉県戸田市 	上戸田1丁目5番地,,35.817056,139.680392,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=11,,,,昭和43年区画整理により設置され、昭和53年に整備された。,
12,11224,公園,埼玉県戸田市,,元蕨第二公園,埼玉県戸田市上戸田2丁目11番地,,35.814813,139.681097,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=12,,,,昭和42年に区画整理により設置された。,
13,11224,公園,埼玉県戸田市,,元蕨第三公園,埼玉県戸田市上戸田2丁目9番地,,35.8137502,139.6813459,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=13,,,,昭和43年に区画整理により設置された。本公園は市福祉センターの東側に位置している。,
14,11224,公園,埼玉県戸田市,,東町公園,埼玉県戸田市地 	上戸田2丁目41番地,,35.813423,139.677938,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=14,,,,昭和42年に区画整理により設置された。本公園は戸田第一小学校の東側に位置している。,
15,11224,公園,埼玉県戸田市,,鍛冶谷町公園,埼玉県戸田市 	上戸田3丁目18番地,,35.8136,139.67482,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=15,,,,昭和43年に区画整理により設置された。本公園は住宅地域で氷川大明神の西側に位置している。,
16,11224,公園,埼玉県戸田市,,新田口公園,埼玉県戸田市上戸田5丁目28番地,,35.812383,139.671315,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=16,,,,昭和42年に区画整理により設置された。,
17,11224,公園,埼玉県戸田市,,立野際公園,埼玉県戸田市 	喜沢1丁目49番地,,35.810969,139.69758,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=17,,,,本公園は喜沢小学校の東側に位置し、その周辺には住宅が密集しており緑も少ない状況でした。又この地域には都市公園が少なく設置が望まれ４５年度に整備されました。,
18,11224,公園,埼玉県戸田市,,番匠免公園,埼玉県戸田市美女木8丁目6番地,,35.828846,139.635128,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=18,,,,昭和49年、区画整理により設置されました。,
19,11224,公園,埼玉県戸田市,,重瀬公園,埼玉県戸田市美女木1丁目22番地,,35.82924,139.63885,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=19,,,,昭和46年、区画整理により設置されました。,
